customer,orderno
T24878211,TWO141419
T22415854,IDR24B0029
T96860837,TWO148807
T70581310,ATWO001223
T80247011,OITW047211
T27404764,ATWO000793
T86710418,1240318
T24389071,TWO142062

T12795763,ATWO001766
T84177591,TWO142106
T90637397,1249031
T68387705,ATWO000073
T83171710,TWO142716
T42734194,TWO141858
T16343137,TWO142103
T12418121,TWO141066
T16030043,TWO143048
T54071488,TWO142695
T97015768,1246522
T28869038,1246541
,
T90689872,1248729
T90637397,1249030
T90637397,1248610
T27294393,1248065
T94078613,60063467
T89287626,ATWO001485
T97015768,TWO142271
T90637397,1248611
T54112220,TWO149462
T12837004,ATWO001491
T22125237,ATWO001731
T22912298,ATWO001787
T22367874,ATWO001791
T89394787,ATWO001788
T28869038,1249006
T97311466,60063370
T28869038,1247992
T97311466,60063371
T53163636,ATWO001694
T24664196,ATWO001698
T16270654,ATWO001777
T70733153,1248766
T97015768,TWO142381
T27284640,TWO141985
T70753397,TWO150394
T27995352,TWO150090
T54063852,ATWO001795
T54063852,ATWO001796
T97490329,ATWO001812
T27284640,TWO142222
T22101002,TWO143043
T27284640,TWO149399
T70513854,1249107
T54706588,1249005
T16428796,ATWO001469
T52600602,TWO145574
T22395392,OITW050231
T54753110,1249119
T28401836,TWO119596
T27792960,ATWO001781
T27284640,ATWO001506
T34332464,OITW050225
T53307562V,ATWO001520
T22994919,OITW049995
ADVHWACOM,TWO140845
T24686240,TWO142399
T42574289,OITW047274
T16429824,TWO142351
T69777435,TWO139274
T54753110,ATWO000291
T83403388,OITW047216
T23736159,TWO142668
T90689872,1246514
T89235959,OITW047329
T24357015,OITW047321
T83527613,ATWO001810
T80319252,ATWO001427
T53757193,OITW047435
T27284640,1246517
T82924234,TWO142145
T38989618,TWO142739
T93786011,TWO141034
T34219456,ATWO001751
ADVSMA,1246554
T93786011,TWO141029
T22552759,TWO142669
T53911148,TWO142617
T89890619,ATWO001532
T23145632,TWO149239
T50806831,ATWO001161
T27495602,1248621
T84498860,TWO142914
T02750963,TWO140876
T54597189,1246525
T27284640,TWO142646
